algo,env,buffer,final_success_mean,final_reward_mean,exploration/unique_obs_mean_last100_mean,exploration/frontier_rate_mean_last100_mean,peak_replay_buffer_mb_mean,peak_ram_mb_mean,return_per_ram_gb_mean,final_success_std,final_reward_std,exploration/unique_obs_mean_last100_std,exploration/frontier_rate_mean_last100_std,peak_replay_buffer_mb_std,peak_ram_mb_std,return_per_ram_gb_std
BetaDQN_strict,MiniGrid-DoorKey-5x5-v0,100000,0.0,0.0,8.303030303030303,0.0,,,,,,,,,,
DQN,MiniGrid-DoorKey-5x5-v0,25000,0.6,0.5815199999999999,9.75531914893617,0.0,449.09,822.9699999999999,0.0,0.39999999999999997,0.3874000557563202,1.841777882187624,0.0,0.0,1.335514881983707,0.0
DQN,MiniGrid-DoorKey-5x5-v0,50000,0.6666666666666666,0.6472266666666666,9.14348906924033,0.0,898.17,1272.5133333333333,0.5176666666666666,0.5773502691896258,0.5605176255331613,1.36300850885534,0.0,0.0,0.8637900979598242,0.4483194545559375
DQN,MiniGrid-DoorKey-5x5-v0,100000,1.0,0.9704799999999999,9.895118872291183,0.0,1796.34,2170.21,0.36366666666666664,0.0,0.0019049409439664906,0.27658257763030814,0.0,0.0,1.342795591294557,0.15820661595942612
DoubleDQN,MiniGrid-DoorKey-5x5-v0,25000,1.0,0.97072,9.83666456273231,0.0,449.09,823.3933333333334,1.1993333333333334,0.0,0.0016627687752660545,0.12359644411959693,0.0,0.0,0.7850053078376582,0.005859465277082298
DoubleDQN,MiniGrid-DoorKey-5x5-v0,50000,1.0,0.97072,9.782491944146079,0.0,898.17,1272.58,0.7760000000000001,0.0,0.0016627687752660545,0.17961081902364304,0.0,0.0,0.9168969407735642,0.0036055512754640156
DoubleDQN,MiniGrid-DoorKey-5x5-v0,100000,1.0,0.9704799999999999,9.866435233887369,0.0,1796.34,2169.83,0.4546666666666667,0.0,0.0019049409439664906,0.24838262424801247,0.0,0.0,0.08888194417322215,0.0020816659994661326
