step,episodes,epsilon,train/ep_reward,train/ep_len,exploration/unique_obs,exploration/frontier_rate,loss/q,loss/b,recent_policy,eval_masked/mean_reward,eval_masked/success,eval_q/mean_reward,eval_q/success
17796,76,0.9831,0.5644,121,20,0.0000,0.001459,1.914290,eps,,,,
17957,77,0.9829,0.4204,161,30,0.0124,0.000205,1.948384,eps,,,,
18207,78,0.9827,0.0000,250,16,0.0000,0.009908,1.926624,eps,,,,
18457,79,0.9825,0.0000,250,8,0.0000,0.000125,1.951309,eps,,,,
18707,80,0.9822,0.0000,250,19,0.0000,0.000092,1.905523,eps,,,,
18957,81,0.9820,0.0000,250,9,0.0000,0.008871,1.905195,eps,,,,
19207,82,0.9818,0.0000,250,17,0.0000,0.000599,1.913918,eps,,,,
19457,83,0.9815,0.0000,250,27,0.0000,0.000186,1.930490,eps,,,,
19707,84,0.9813,0.0000,250,20,0.0000,0.000221,1.944070,eps,,,,
19957,85,0.9810,0.0000,250,23,0.0000,0.000354,1.938840,eps,,,,
20207,86,0.9808,0.0000,250,18,0.0000,0.000120,1.962477,eps,,,,
20457,87,0.9806,0.0000,250,14,0.0000,0.000494,1.922937,eps,,,,
20669,88,0.9804,0.2368,212,33,0.0283,0.000427,1.975654,eps,,,,
20738,89,0.9803,0.7516,69,16,0.0000,0.000074,1.949785,eps,,,,
20988,90,0.9801,0.0000,250,24,0.0000,0.000733,1.970898,eps,,,,
21238,91,0.9798,0.0000,250,19,0.0000,0.000217,1.920927,eps,,,,
21488,92,0.9796,0.0000,250,10,0.0000,0.000236,1.958613,eps,,,,
21738,93,0.9793,0.0000,250,21,0.0000,0.000055,1.929256,eps,,,,
21988,94,0.9791,0.0000,250,31,0.0240,0.000544,1.948778,eps,,,,
22238,95,0.9789,0.0000,250,8,0.0000,0.000248,1.941069,cov(0.10),,,,
22403,96,0.9787,0.4060,165,22,0.0000,0.012920,1.993731,eps,,,,
22653,97,0.9785,0.0000,250,13,0.0000,0.000691,1.945039,eps,,,,
22903,98,0.9782,0.0000,250,19,0.0000,0.000111,1.938800,eps,,,,
23153,99,0.9780,0.0000,250,14,0.0000,0.000116,1.982574,eps,,,,
23403,100,0.9778,0.0000,250,18,0.0000,0.000072,1.955580,eps,,,,
23653,101,0.9775,0.0000,250,29,0.0080,0.000109,1.913554,eps,,,,
23903,102,0.9773,0.0000,250,23,0.0000,0.000289,1.929621,eps,,,,
24153,103,0.9771,0.0000,250,28,0.0000,0.000157,1.947269,eps,,,,
24295,104,0.9769,0.4888,142,27,0.0000,0.000393,1.957702,eps,,,,
24545,105,0.9767,0.0000,250,8,0.0000,0.000090,1.933911,eps,,,,
24795,106,0.9764,0.0000,250,25,0.0000,0.000165,1.938752,eps,,,,
25005,107,0.9762,0.2440,210,33,0.0000,0.000272,1.930804,eps,,,,
25255,108,0.9760,0.0000,250,14,0.0000,0.000077,1.942870,eps,,,,
25505,109,0.9758,0.0000,250,22,0.0000,0.000176,1.951409,eps,,,,
25755,110,0.9755,0.0000,250,23,0.0000,0.000313,1.925646,eps,,,,
26005,111,0.9753,0.0000,250,33,0.0040,0.000174,1.904162,eps,,,,
26255,112,0.9751,0.0000,250,21,0.0000,0.000111,1.957500,eps,,,,
26505,113,0.9748,0.0000,250,21,0.0000,0.000044,1.954917,eps,,,,
26755,114,0.9746,0.0000,250,30,0.0000,0.000488,1.957779,eps,,,,
27005,115,0.9743,0.0000,250,17,0.0000,0.000350,1.935263,eps,,,,
27255,116,0.9741,0.0000,250,21,0.0000,0.001558,1.939199,eps,,,,
27505,117,0.9739,0.0000,250,8,0.0000,0.000372,1.943786,eps,,,,
27755,118,0.9736,0.0000,250,22,0.0000,0.014414,1.946131,eps,,,,
28005,119,0.9734,0.0000,250,23,0.0000,0.000134,1.939461,eps,,,,
28255,120,0.9732,0.0000,250,18,0.0000,0.013161,1.923999,eps,,,,
28505,121,0.9729,0.0000,250,12,0.0000,0.000081,1.969596,eps,,,,
28755,122,0.9727,0.0000,250,30,0.0000,0.000266,1.958846,eps,,,,
29005,123,0.9724,0.0000,250,18,0.0000,0.000099,1.916867,eps,,,,
29255,124,0.9722,0.0000,250,21,0.0000,0.000103,1.930691,eps,,,,
29505,125,0.9720,0.0000,250,17,0.0000,0.000104,1.918223,eps,,,,
29755,126,0.9717,0.0000,250,24,0.0280,0.000065,1.939169,eps,,,,
30005,127,0.9715,0.0000,250,18,0.0000,0.000071,1.930622,eps,,,,
30255,128,0.9713,0.0000,250,24,0.0000,0.000112,1.944147,eps,,,,
30505,129,0.9710,0.0000,250,10,0.0000,0.000022,1.961658,eps,,,,
30755,130,0.9708,0.0000,250,25,0.0000,0.000133,1.920603,eps,,,,
30973,131,0.9706,0.2152,218,32,0.0000,0.000101,1.925082,eps,,,,
31223,132,0.9703,0.0000,250,18,0.0000,0.000079,1.947190,eps,,,,
31473,133,0.9701,0.0000,250,21,0.0000,0.000036,1.924598,eps,,,,
31723,134,0.9699,0.0000,250,17,0.0000,0.013648,1.943377,eps,,,,
31973,135,0.9696,0.0000,250,29,0.0080,0.000030,1.958945,eps,,,,
32223,136,0.9694,0.0000,250,19,0.0000,0.000261,1.961152,eps,,,,
32473,137,0.9692,0.0000,250,15,0.0000,0.000385,1.946987,eps,,,,
32628,138,0.9690,0.4420,155,24,0.0000,0.000113,1.935569,eps,,,,
32878,139,0.9688,0.0000,250,27,0.0000,0.000246,1.922172,eps,,,,
33128,140,0.9685,0.0000,250,8,0.0000,0.000285,1.915320,eps,,,,
33282,141,0.9684,0.4456,154,29,0.0000,0.000195,1.936292,eps,,,,
33532,142,0.9681,0.0000,250,23,0.0000,0.000153,1.959229,eps,,,,
33782,143,0.9679,0.0000,250,22,0.0000,0.000034,1.972823,eps,,,,
34008,144,0.9677,0.1864,226,25,0.0000,0.000074,1.925750,eps,,,,
34258,145,0.9675,0.1000,250,19,0.0000,0.012779,1.990158,eps,,,,
34508,146,0.9672,0.0000,250,28,0.0080,0.000082,1.938066,eps,,,,
34758,147,0.9670,0.0000,250,25,0.0040,0.008299,1.933758,eps,,,,
35008,148,0.9667,0.0000,250,30,0.0040,0.000058,1.936649,eps,,,,
35258,149,0.9665,0.0000,250,18,0.0000,0.000099,1.941150,eps,,,,
35508,150,0.9663,0.0000,250,39,0.0040,0.000022,1.954304,eps,,,,
35758,151,0.9660,0.0000,250,28,0.0000,0.000025,1.937108,eps,,,,
36008,152,0.9658,0.0000,250,9,0.0000,0.000026,1.962271,eps,,,,
36258,153,0.9656,0.0000,250,15,0.0000,0.000173,1.927173,eps,,,,
36508,154,0.9653,0.0000,250,19,0.0000,0.000036,1.937920,eps,,,,
36758,155,0.9651,0.0000,250,29,0.0000,0.000174,1.946352,eps,,,,
36914,156,0.9649,0.4384,156,31,0.0128,0.000027,1.961308,eps,,,,
37164,157,0.9647,0.0000,250,24,0.0000,0.000036,1.929010,eps,,,,
37414,158,0.9645,0.0000,250,26,0.0000,0.000070,1.943472,eps,,,,
37664,159,0.9642,0.0000,250,14,0.0000,0.000083,1.939269,cov(0.10),,,,
37847,160,0.9640,0.3412,183,26,0.0000,0.000047,1.953666,eps,,,,
38097,161,0.9638,0.0000,250,25,0.0000,0.000028,1.956319,eps,,,,
38347,162,0.9636,0.0000,250,34,0.0000,0.000198,1.968528,eps,,,,
38597,163,0.9633,0.0000,250,32,0.0000,0.000111,1.992653,eps,,,,
38847,164,0.9631,0.0000,250,34,0.0000,0.000025,1.923672,eps,,,,
39097,165,0.9629,0.0000,250,18,0.0000,0.000044,1.919192,eps,,,,
39347,166,0.9626,0.0000,250,21,0.0000,0.012545,1.921348,eps,,,,
39597,167,0.9624,0.0000,250,14,0.0000,0.000045,1.944861,eps,,,,
39847,168,0.9621,0.0000,250,16,0.0000,0.000101,1.913091,eps,,,,
40097,169,0.9619,0.0000,250,26,0.0000,0.000154,1.954979,eps,,,,
40347,170,0.9617,0.0000,250,19,0.0000,0.000108,1.930188,eps,,,,
40597,171,0.9614,0.0000,250,8,0.0000,0.000540,1.949546,eps,,,,
40847,172,0.9612,0.0000,250,24,0.0000,0.000052,1.941672,eps,,,,
